IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
UN-L1-2013-SN-D1-E5_L1	UN-L1-2013-SN-D1-E5		L1	115	19	tendu	ADJ	tendu	tendu	19	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E5_L1	UN-L1-2013-SN-D1-E5		L1	115	66	agricole	ADJ	agricole	agricole	66	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E7_L1	UN-L1-2013-SN-D1-E7		L1	115	9	nombreux	ADJ	nombreuses	nombreuses	9	1	01-Normé	01-Normé	f	p	_
UN-L1-2013-SN-D1-E7_L1	UN-L1-2013-SN-D1-E7		L1	115	30	normal	ADJ	normal	normal	30	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E7_L1	UN-L1-2013-SN-D1-E7		L1	115	110	autre	ADJ	autre	autre	110	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	32	nuageux	ADJ	nuageux	nuageux	32	1	01-Normé	01-Normé	m	_	_
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	34	sombre	ADJ	sombre	sombre	34	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	58	mauvais	ADJ	mauvaises	mauvaises	58	1	01-Normé	01-Normé	f	p	_
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	99	modeste	ADJ	modeste	modeste	99	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	115	dur	ADJ	dure	dure	115	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	14	élevé	ADJ	élevé	élevé	14	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	22	grand	ADJ	grand	grand	22	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	60	humble	ADJ	humble	humble	60	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	62	fidèle	ADJ	fidèle	fidèle	62	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	123	agricole	ADJ	agricoles	agricole	123	1	02-Phono	01-Normé	_	p	_
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	136	entier	ADJ	entière	entiere	136	1	04-ApproxGraphique	01-Normé	f	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	7	jeune	ADJ	jeune	jeune	7	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	28	beau	ADJ	beau	beau	28	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	30	<unknown>	ADJ	aprÃ¨s	aprÃ¨s	30	1	01-Normé	01-Normé	_	_	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	46	agricole	ADJ	agricole	agricole	46	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	58	boulot	ADJ	boulot	boulot	58	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	80	municipal	ADJ	municipal	municipal	80	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	103	jeune	ADJ	jeune	jeune	103	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	127	bon	ADJ	bon	bon	127	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	2	<unknown>	ADJ	-	-	2	1	01-Normé	01-Normé	_	_	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	3	<unknown>	ADJ	Il	Il	3	1	01-Normé	01-Normé	_	_	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	9	semblable	ADJ	semblable	semblable	9	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	13	agricole	ADJ	agricole	agricole	13	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	37	semblable	ADJ	semblable	semblable	37	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	42	différent	ADJ	différents	différents	42	1	01-Normé	01-Normé	m	p	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	99	humain	ADJ	humaine	humaine	99	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	104	contrôlable	ADJ	contrôlable	contrôlable	104	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E16_L1	UN-L1-2013-SN-D1-E16		L1	132	130	climatique	ADJ	climatiques	climatiques	130	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	4	soudain	ADJ	soudaine	soudaine	4	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	12	matériel	ADJ	matérielle	matérielle	12	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	70	morose	ADJ	morose	morose	70	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	87	haut	ADJ	haute	haute	87	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	106	vieux	ADJ	vieil	vieil	106	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	123	fou	ADJ	folles	folle	123	1	02-Phono	01-Normé	f	p	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	141	vieux	ADJ	vieux	vieux	141	1	01-Normé	01-Normé	m	_	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	143	large	ADJ	large	large	143	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	165	sévère	ADJ	sévère	sévère	165	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	170	grave	ADJ	grave	grave	170	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	177	autoritaire	ADJ	autoritaire	autoritaire	177	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	189	fort	ADJ	forte	forte	189	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	193	seul	ADJ	Seule	Seule	193	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	208	familial	ADJ	familiaux	familiaux	208	1	01-Normé	01-Normé	m	p	_
UN-L1-2013-SN-D1-E15_L1	UN-L1-2013-SN-D1-E15		L1	228	218	éternel	ADJ	éternel	éternel	218	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E17_L1	UN-L1-2013-SN-D1-E17		L1	143	11	social	ADJ	sociale	sociale	11	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E17_L1	UN-L1-2013-SN-D1-E17		L1	143	25	étrange	ADJ	étranges	étranges	25	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E17_L1	UN-L1-2013-SN-D1-E17		L1	143	28	autre	ADJ	autres	autres	28	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E13_L1	UN-L1-2013-SN-D1-E13		L1	97	20	noble	ADJ	noble	noble	20	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E13_L1	UN-L1-2013-SN-D1-E13		L1	97	22	intransigeant	ADJ	intransigeante	intransigeante	22	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E13_L1	UN-L1-2013-SN-D1-E13		L1	97	43	rare	ADJ	rare	rare	43	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E13_L1	UN-L1-2013-SN-D1-E13		L1	97	56	propriétaire	ADJ	propriétaire	propriétaire	56	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E13_L1	UN-L1-2013-SN-D1-E13		L1	97	87	familial	ADJ	familial	familial	87	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E13_L1	UN-L1-2013-SN-D1-E13		L1	97	91	final	ADJ	finale	finale	91	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E23_L1	UN-L1-2013-SN-D1-E23		L1	139	22	<unknown>	ADJ	dis	dis	22	1	01-Normé	01-Normé	_	_	_
UN-L1-2013-SN-D1-E23_L1	UN-L1-2013-SN-D1-E23		L1	139	23	<unknown>	ADJ	-	-	23	1	01-Normé	01-Normé	_	_	_
UN-L1-2013-SN-D1-E23_L1	UN-L1-2013-SN-D1-E23		L1	139	64	cruel	ADJ	cruel	cruel	64	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E23_L1	UN-L1-2013-SN-D1-E23		L1	139	95	claudicant	ADJ	claudicante	claudicante	95	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E23_L1	UN-L1-2013-SN-D1-E23		L1	139	102	physique	ADJ	physiques	physiques	102	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E23_L1	UN-L1-2013-SN-D1-E23		L1	139	126	difficile	ADJ	difficile	difficile	126	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	9	nouveau	ADJ	nouveau	nouveau	9	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	12	grand	ADJ	grande	grande	12	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	27	panique	ADJ	panique	panic	27	1	02-Phono	01-Normé	f	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	36	vide	ADJ	vide	vide	36	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	50	coupable	ADJ	coupable	coupable	50	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	67	mystérieux	ADJ	mystérieux	misterieux	67	1	04-ApproxGraphique	01-Normé	m	_	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	100	noir	ADJ	noir	noir	100	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	128	dixième	ADJ	dixième	dixième	128	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	140	<unknown>	ADJ	seulà	seulea	140	1	02-Phono	01-Normé	_	_	_
UN-L1-2013-SN-D1-E3_L1	UN-L1-2013-SN-D1-E3		L1	158	146	bon	ADJ	bon	bon	146	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E8_L1	UN-L1-2013-SN-D1-E8		L1	65	53	dur	ADJ	dur	dur	53	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	11	mélancolique	ADJ	mélancolique	mélancolique	11	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	17	évident	ADJ	évident	évident	17	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	56	étrange	ADJ	étrange	étrange	56	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	74	neutre	ADJ	neutre	neutre	74	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	123	nouveau	ADJ	nouveau	nouveau	123	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	128	incompréhensible	ADJ	incompréhensibles	incompréhensible	128	1	03-Archi	01-Normé	_	p	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	131	bas	ADJ	basse	basse	131	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	134	grave	ADJ	grave	grave	134	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E18_L1	UN-L1-2013-SN-D1-E18		L1	169	162	plein	ADJ	pleine	pleine	162	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E9_L1	UN-L1-2013-SN-D1-E9		L1	127	40	même	ADJ	même	même	40	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E9_L1	UN-L1-2013-SN-D1-E9		L1	127	125	profond	ADJ	profonde	profonde	125	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E19_L1	UN-L1-2013-SN-D1-E19		L1	109	25	présent	ADJ	présent	présent	25	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E19_L1	UN-L1-2013-SN-D1-E19		L1	109	81	autre	ADJ	autres	autres	81	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E19_L1	UN-L1-2013-SN-D1-E19		L1	109	91	seul	ADJ	seule	seule	91	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	26	correct	ADJ	correcte	correcte	26	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	95	bien	ADJ	bien	bien	95	1	01-Normé	01-Normé	_	_	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	97	nul	ADJ	nulle	nulle	97	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	140	aisé	ADJ	aisé	aisé	140	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	175	brillant	ADJ	brillant	brillant	175	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	184	beau	ADJ	bel	bel	184	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	190	lucide	ADJ	lucide	lucide	190	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	211	absent	ADJ	absent	absent	211	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	275	seul	ADJ	seul	seul	275	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E14_L1	UN-L1-2013-SN-D1-E14		L1	285	278	restant	ADJ	restantes	restantes	278	1	01-Normé	01-Normé	f	p	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	24	physique	ADJ	physique	physique	24	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	40	physique	ADJ	physique	physique	40	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	59	fort	ADJ	forte	forte	59	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	66	résistant	ADJ	résistante	résistante	66	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	69	émotionnel	ADJ	émotionnels	émotionnels	69	1	01-Normé	01-Normé	m	p	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	75	permanent	ADJ	permanent	permanent	75	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	102	dur	ADJ	dures	dures	102	1	01-Normé	01-Normé	f	p	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	114	moral	ADJ	morales	morales	114	1	01-Normé	01-Normé	f	p	_
UN-L1-2013-SN-D1-E2_L1	UN-L1-2013-SN-D1-E2		L1	130	116	physique	ADJ	physiques	physiques	116	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E1_L1	UN-L1-2013-SN-D1-E1		L1	118	86	dernier	ADJ	dernier	dernier	86	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E1_L1	UN-L1-2013-SN-D1-E1		L1	118	89	horrible	ADJ	horrible	horrible	89	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E1_L1	UN-L1-2013-SN-D1-E1		L1	118	96	optimiste	ADJ	optimiste	optimiste	96	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E11_L1	UN-L1-2013-SN-D1-E11		L1	112	24	fier	ADJ	fière	fière	24	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E11_L1	UN-L1-2013-SN-D1-E11		L1	112	58	seul	ADJ	seul	seul	58	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E11_L1	UN-L1-2013-SN-D1-E11		L1	112	63	familial	ADJ	familiale	familiale	63	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E11_L1	UN-L1-2013-SN-D1-E11		L1	112	68	mauvais	ADJ	mauvaises	mauvaises	68	1	01-Normé	01-Normé	f	p	_
UN-L1-2013-SN-D1-E11_L1	UN-L1-2013-SN-D1-E11		L1	112	92	grand	ADJ	grande	grande	92	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E11_L1	UN-L1-2013-SN-D1-E11		L1	112	101	sain	ADJ	sain	sain	101	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E12_L1	UN-L1-2013-SN-D1-E12		L1	85	5	dur	ADJ	dures	dûres	5	1	02-Phono	01-Normé	f	p	_
UN-L1-2013-SN-D1-E12_L1	UN-L1-2013-SN-D1-E12		L1	85	30	municipal	ADJ	municipal	municipal	30	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E12_L1	UN-L1-2013-SN-D1-E12		L1	85	64	humble	ADJ	humble	humble	64	1	01-Normé	01-Normé	_	s	_
