IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
1976_CE2	1976		CE2	176	95	joli	ADJ	joli	jolie	93	1	02-Phono	01-Normé	m	s	_
1976_CE2	1976		CE2	176	135	fort	ADJ	fort	fort	133	1	01-Normé	01-Normé	m	s	_
1976_CE2	1976		CE2	176	156	meilleur	ADJ	meilleurs	meilleurs	154	1	01-Normé	01-Normé	m	p	_
1164_CE2	1164		CE2	90	13	affreux	ADJ	affreux	affreut	13	1	02-Phono	01-Normé	m	_	_
1164_CE2	1164		CE2	90	22	laid	ADJ	laid	laid	22	1	01-Normé	01-Normé	m	s	_
1164_CE2	1164		CE2	90	28	gris	ADJ	gris	gris	28	1	01-Normé	01-Normé	m	_	_
1164_CE2	1164		CE2	90	40	jeune	ADJ	jeune	jeune	40	1	01-Normé	01-Normé	_	s	_
1099_CE2	1099		CE2	222	49	maléfique	ADJ	maléfique	maléfique	49	1	01-Normé	01-Normé	_	s	_
1099_CE2	1099		CE2	222	99	bon	ADJ	bonne	bonne	98	1	01-Normé	01-Normé	f	s	_
1099_CE2	1099		CE2	222	116	petit	ADJ	petit	petit	115	1	01-Normé	01-Normé	m	s	_
1099_CE2	1099		CE2	222	145	même	ADJ	même	même	147	1	01-Normé	01-Normé	_	s	_
1099_CE2	1099		CE2	222	165	marrant	ADJ	marrant	marans	167	1	02-Phono	01-Normé	m	s	_
1099_CE2	1099		CE2	222	171	vilain	ADJ	vilains	vilans	173	1	04-ApproxGraphique	01-Normé	m	p	_
1099_CE2	1099		CE2	222	172	méchant	ADJ	méchants	méchants	174	1	01-Normé	01-Normé	m	p	_
1099_CE2	1099		CE2	222	179	autre	ADJ	autres	autre	181	1	04-ApproxGraphique	01-Normé	_	p	_
1099_CE2	1099		CE2	222	187	proche	ADJ	proche	proche	189	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	11	magique	ADJ	magique	magique	11	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	14	ami	ADJ	amis	amis	14	1	01-Normé	01-Normé	m	p	_
1984_CE2	1984		CE2	170	23	bizarre	ADJ	bizarre	bissare	23	1	04-ApproxGraphique	01-Normé	_	s	_
1984_CE2	1984		CE2	170	27	magique	ADJ	magique	magique	27	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	54	magique	ADJ	magique	magique	54	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	75	juste	ADJ	juste	jute	75	1	04-ApproxGraphique	01-Normé	_	s	_
1984_CE2	1984		CE2	170	78	magique	ADJ	magique	magique	78	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	96	magique	ADJ	magiques	magique	96	1	02-Phono	01-Normé	_	p	_
1984_CE2	1984		CE2	170	104	magique	ADJ	magique	magique	106	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	111	bête	ADJ	bête	bète	113	1	02-Phono	01-Normé	_	s	_
1984_CE2	1984		CE2	170	144	cool	ADJ	cool	colle	146	1	04-ApproxGraphique	01-Normé	_	s	_
1984_CE2	1984		CE2	170	149	magique	ADJ	magique	magique	151	1	01-Normé	01-Normé	_	s	_
1984_CE2	1984		CE2	170	167	magique	ADJ	magique	magique	169	1	01-Normé	01-Normé	_	s	_
3070_CE2	3070		CE2	91	23	plein	ADJ	plein		23	1	08-Non pertinent	06-Omis	m	s	_
3070_CE2	3070		CE2	91	45	droit	ADJ	droite	droite	45	1	01-Normé	01-Normé	f	s	_
3070_CE2	3070		CE2	91	50	volant	ADJ	volant	volan	50	1	02-Phono	01-Normé	m	s	_
3070_CE2	3070		CE2	91	81	petit	ADJ	petites	petites	81	1	01-Normé	01-Normé	f	p	_
1345_CE2	1345		CE2	196	72	autre	ADJ	autre	autre	72	1	01-Normé	01-Normé	_	s	_
1345_CE2	1345		CE2	196	195	horrible	ADJ	horrible	orible	196	1	02-Phono	01-Normé	_	s	_
1969_CE2	1969		CE2	83	3	meilleur	ADJ	Meilleurs	meilleurs	3	1	01-Normé	01-Normé	m	p	_
1969_CE2	1969		CE2	83	24	grand	ADJ	grand	grand	24	1	01-Normé	01-Normé	m	s	_
