IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
1544_CE1	1544		CE1	97	27	tropical	ADJ	tropicale	tropical	27	1	02-Phono	01-Normé	f	s	_	tropical	e	_	tropical	_	_	0	1	0
1544_CE1	1544		CE1	97	85	français	ADJ	français	francai	84	1	04-ApproxGraphique	01-Normé	m	_	_	français	_	_	francai	_	_	1	0	0
1099_CE1	1099		CE1	185	127	flou	ADJ	flou	flou	126	1	01-Normé	01-Normé	m	s	_	flou	_	_	flou	_	_	0	0	0
1154_CE1	1154		CE1	62	7	autre	ADJ	autre	notre	7	1	03-Archi	01-Normé	_	s	_	autre	_	_	notre	_	_	1	0	0
1154_CE1	1154		CE1	62	20	autre	ADJ	autre	notre	17	1	03-Archi	01-Normé	_	s	_	autre	_	_	notre	_	_	1	0	0
1154_CE1	1154		CE1	62	24	autre	ADJ	autre	anotre	21	1	04-ApproxGraphique	01-Normé	_	s	_	autre	_	_	anotre	_	_	1	0	0
1154_CE1	1154		CE1	62	36	grand	ADJ	grand	grand	33	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
1154_CE1	1154		CE1	62	53	pointu	ADJ	pointues	poitu	50	1	05-ApproxPhono	01-Normé	f	p	_	pointu	e	s	poitu	_	_	1	1	1
1923_CE1	1923		CE1	68	43	grand	ADJ	grande	grande	43	1	01-Normé	01-Normé	f	s	_	grand	e	_	grand	e	_	0	0	0
1923_CE1	1923		CE1	68	59	mino	ADJ	Mino	Mino	58	1	01-Normé	01-Normé	m	s	_
1190_CE1	1190		CE1	63	9	gentil	ADJ	gentille	jantie	9	1	05-ApproxPhono	01-Normé	f	s	_	gentill	e	_	janti	e	_	1	0	0
1190_CE1	1190		CE1	63	30	petit	ADJ	petite	petite	30	1	01-Normé	01-Normé	f	s	_	petit	e	_	petit	e	_	0	0	0
1190_CE1	1190		CE1	63	42	grand	ADJ	grande	grande	41	1	01-Normé	01-Normé	f	s	_	grand	e	_	grand	e	_	0	0	0
2899_CE1	2899		CE1	33	30	méchant	ADJ	méchant	méchant	31	1	01-Normé	01-Normé	m	s	_	méchant	_	_	méchant	_	_	0	0	0
1561_CE1	1561		CE1	95	12	noir	ADJ	noir	noir	12	1	01-Normé	01-Normé	m	s	_	noir	_	_	noir	_	_	0	0	0
1561_CE1	1561		CE1	95	22	gros	ADJ	gros	gros	22	1	01-Normé	01-Normé	m	_	_	gros	_	_	gros	_	_	0	0	0
1561_CE1	1561		CE1	95	49	petit	ADJ	petit	petit	48	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
