IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
1183_CP	1183		CP	30	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
72_CP	72		CP	18	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
824_CP	824		CP	35	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1866_CP	1866		CP	28	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
816_CP	816		CP	35	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2883_CP	2883		CP	43	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2883_CP	2883		CP	43	18	petit	ADJ	petit	petit	18	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2883_CP	2883		CP	43	39	autre	ADJ	autres	zotre	39	1	05-ApproxPhono	01-Normé	_	p	_	autre	_	s	zotre	_	_	1	0	1
2883_CP	2883		CP	43	40	petit	ADJ	petits	petit	40	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
1573_CP	1573		CP	42	3	petit	ADJ	petit	petite	3	1	04-ApproxGraphique	01-Normé	m	s	_	petit	_	_	petit	e	_	0	1	0
563_CP	563		CP	41	26	autre	ADJ	autres	sotre	23	1	05-ApproxPhono	01-Normé	_	p	_	autre	_	s	sotre	_	_	1	0	1
1830_CP	1830		CP	24	7	petit	ADJ	petit	peti	7	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
1865_CP	1865		CP	34	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1358_CP	1358		CP	36	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
1366_CP	1366		CP	55	7	petit	ADJ	petits	petit	8	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
1366_CP	1366		CP	55	46	petit	ADJ	petits	petit	45	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
1366_CP	1366		CP	55	50	content	ADJ	contents	contan	49	1	02-Phono	01-Normé	m	p	_	content	_	s	contan	_	_	1	0	1
2988_CP	2988		CP	32	9	petit	ADJ	petit	petit	6	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
3012_CP	3012		CP	38	11	fait	ADJ	fait	fé	11	1	03-Archi	01-Normé	m	s	_
100_CP	100		CP	30	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
100_CP	100		CP	30	8	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
584_CP	584		CP	33	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
584_CP	584		CP	33	26	petit	ADJ	petit	petit	26	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1955_CP	1955		CP	28	26	petit	ADJ	petit	petit	26	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
199_CP	199		CP	35	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
1303_CP	1303		CP	25	4	petit	ADJ	petit	petit	4	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2976_CP	2976		CP	36	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2976_CP	2976		CP	36	14	petit	ADJ	petit	petit	14	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
116_CP	116		CP	37	5	petit	ADJ	petit	petit	5	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1111_CP	1111		CP	36	8	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1111_CP	1111		CP	36	20	petit	ADJ	petit	petit	16	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1153_CP	1153		CP	33	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1354_CP	1354		CP	34	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1354_CP	1354		CP	34	31	petit	ADJ	petit	petit	31	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
560_CP	560		CP	24	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
560_CP	560		CP	24	22	petit	ADJ	petit	petit	21	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2898_CP	2898		CP	19	4	court	ADJ	court	coure	4	1	02-Phono	01-Normé	m	s	_	court	_	_	cour	e	_	1	1	0
3017_CP	3017		CP	25	23	content	ADJ	content	conten	23	1	04-ApproxGraphique	01-Normé	m	s	_	content	_	_	conten	_	_	1	0	0
1302_CP	1302		CP	36	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1604_CP	1604		CP	17	7	petit	ADJ	petit	peti	7	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
2449_CP	2449		CP	42	38	petit	ADJ	petit	petit	35	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1197_CP	1197		CP	20	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
107_CP	107		CP	53	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
107_CP	107		CP	53	20	petit	ADJ	petit	petit	20	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2906_CP	2906		CP	30	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1924_CP	1924		CP	28	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
940_CP	940		CP	34	5	petit	ADJ	petit	petit	4	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
940_CP	940		CP	34	22	mère	ADJ	mère	mère	21	1	01-Normé	01-Normé	f	s	_	mèr	_	_	mère	_	_	1	1	0
940_CP	940		CP	34	27	petit	ADJ	petit	petit	26	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
