IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
UN-L1-2013-SN-D1-E5_L1	UN-L1-2013-SN-D1-E5		L1	115	66	agricole	ADJ	agricole	agricole	66	1	01-Normé	01-Normé	_	s	_	agricole	_	_	agricole	_	_	0	0	0
UN-L1-2013-SN-D1-E7_L1	UN-L1-2013-SN-D1-E7		L1	115	9	nombreux	ADJ	nombreuses	nombreuses	9	1	01-Normé	01-Normé	f	p	_	nombreus	e	s	nombreus	e	s	0	0	0
UN-L1-2013-SN-D1-E7_L1	UN-L1-2013-SN-D1-E7		L1	115	30	normal	ADJ	normal	normal	30	1	01-Normé	01-Normé	m	s	_	normal	_	_	normal	_	_	0	0	0
UN-L1-2013-SN-D1-E7_L1	UN-L1-2013-SN-D1-E7		L1	115	110	autre	ADJ	autre	autre	110	1	01-Normé	01-Normé	_	s	_	autre	_	_	autre	_	_	0	0	0
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	32	nuageux	ADJ	nuageux	nuageux	32	1	01-Normé	01-Normé	m	_	_	nuageux	_	_	nuageux	_	_	0	0	0
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	34	sombre	ADJ	sombre	sombre	34	1	01-Normé	01-Normé	_	s	_	sombre	_	_	sombre	_	_	0	0	0
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	58	mauvais	ADJ	mauvaises	mauvaises	58	1	01-Normé	01-Normé	f	p	_	mauvais	e	s	mauvais	e	s	0	0	0
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	99	modeste	ADJ	modeste	modeste	99	1	01-Normé	01-Normé	_	s	_	modeste	_	_	modeste	_	_	0	0	0
UN-L1-2013-SN-D1-E6_L1	UN-L1-2013-SN-D1-E6		L1	118	115	dur	ADJ	dure	dure	115	1	01-Normé	01-Normé	f	s	_	dur	e	_	dur	e	_	0	0	0
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	14	élevé	ADJ	élevé	élevé	14	1	01-Normé	01-Normé	m	s	_	élevé	_	_	élevé	_	_	0	0	0
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	22	grand	ADJ	grand	grand	22	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	60	humble	ADJ	humble	humble	60	1	01-Normé	01-Normé	_	s	_	humble	_	_	humble	_	_	0	0	0
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	62	fidèle	ADJ	fidèle	fidèle	62	1	01-Normé	01-Normé	_	s	_	fidèle	_	_	fidèle	_	_	0	0	0
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	123	agricole	ADJ	agricoles	agricole	123	1	02-Phono	01-Normé	_	p	_	agricole	_	s	agricole	_	_	0	0	1
UN-L1-2013-SN-D1-E21_L1	UN-L1-2013-SN-D1-E21		L1	137	136	entier	ADJ	entière	entiere	136	1	04-ApproxGraphique	01-Normé	f	s	_	entièr	e	_	entier	e	_	1	0	0
UN-L1-2013-SN-D1-E22_L1	UN-L1-2013-SN-D1-E22		L1	130	7	jeune	ADJ	jeune	jeune	7	1	01-Normé	01-Normé	_	s	_	jeune	_	_	jeune	_	_	0	0	0
