IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
1976_CE2	1976		CE2	176	95	joli	ADJ	joli	jolie	93	1	02-Phono	01-Normé	m	s	_	joli	_	_	joli	e	_	0	1	0
1976_CE2	1976		CE2	176	135	fort	ADJ	fort	fort	133	1	01-Normé	01-Normé	m	s	_	fort	_	_	fort	_	_	0	0	0
1976_CE2	1976		CE2	176	156	meilleur	ADJ	meilleurs	meilleurs	154	1	01-Normé	01-Normé	m	p	_	meilleur	_	s	meilleur	_	s	0	0	0
1164_CE2	1164		CE2	90	13	affreux	ADJ	affreux	affreut	13	1	02-Phono	01-Normé	m	_	_	affreux	_	_	affreut	_	_	1	0	0
1164_CE2	1164		CE2	90	22	laid	ADJ	laid	laid	22	1	01-Normé	01-Normé	m	s	_	laid	_	_	laid	_	_	0	0	0
1164_CE2	1164		CE2	90	28	gris	ADJ	gris	gris	28	1	01-Normé	01-Normé	m	_	_	gris	_	_	gris	_	_	0	0	0
1164_CE2	1164		CE2	90	40	jeune	ADJ	jeune	jeune	40	1	01-Normé	01-Normé	_	s	_	jeune	_	_	jeune	_	_	0	0	0
1099_CE2	1099		CE2	222	49	maléfique	ADJ	maléfique	maléfique	49	1	01-Normé	01-Normé	_	s	_	maléfique	_	_	maléfique	_	_	0	0	0
1099_CE2	1099		CE2	222	99	bon	ADJ	bonne	bonne	98	1	01-Normé	01-Normé	f	s	_	bonn	e	_	bonn	e	_	0	0	0
1099_CE2	1099		CE2	222	116	petit	ADJ	petit	petit	115	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1099_CE2	1099		CE2	222	145	même	ADJ	même	même	147	1	01-Normé	01-Normé	_	s	_	même	_	_	même	_	_	0	0	0
1099_CE2	1099		CE2	222	165	marrant	ADJ	marrant	marans	167	1	02-Phono	01-Normé	m	s	_	marrant	_	_	maran	_	s	1	0	1
